course_code,course_code_prefix,offering_code,course_name,course_details,credits,prerequisites,corequisites,exclusions,breadth_requirements,course_experience,note,course_link
ACMB10,ACM,B10,Equity and Diversity in the Arts,"Equity and diversity in the arts promotes diversity of all kinds, including those of race, gender, socio-economic status, sexual orientation or identity, age, ability or disability, religion, and aesthetics, tradition or practice. This course examines issues of equity and diversity and how they apply across all disciplines of arts, culture and media through critical readings and analysis of cultural policy.",0.5,Any 4.0 credits,,(VPAB07H3),Social and Behavioural Sciences,,"Priority will be given to students enroled in Specialist and Major Programs offered by the Department of Arts, Culture & Media. Other students will be admitted as space permits.",https://ttb.utoronto.ca/cp/ACMB10H3
ACMC01,ACM,C01,ACMEE Applied Practice I,"A study of the arts, culture and/or media sector through reflective practice. Students will synthesize their classroom and work place / learning laboratory experiences in a highly focused, collaborative, and facilitated way through a series of assignments and discussions.",0.5,9.0 credits including VPAB16H3 and VPAB17H3(or its equivalent with instructor permission) and successful completion of required Field Placement Preparation Activities,Field Placement I (may be taken as a prerequisite with Program Director's permission),,"Arts, Literature and Language",University-Based Experience,This course will be graded as a CR if a student successfully completes their internship; and as NCR is the placement was unsuccessful. The NCR will impact the CGPA and count as a 0.0 CGPA value on a transcript.,https://ttb.utoronto.ca/cp/ACMC01H3
ACMD01,ACM,D01,ACMEE Applied Practice II,"An advanced study of the arts, culture and/or media sector through reflective practice. Students will further engage with work places as “learning laboratories”, and play a mentorship role for students in earlier stages of the experiential education process.",0.5,ACMC01H3,Field Placement II (may be taken as a prerequisite with Program Director's permission),,"Arts, Literature and Language",University-Based Experience,This course will be graded as a CR if a student successfully completes their internship; and as NCR is the placement was unsuccessful. The NCR will impact the CGPA and count as a 0.0 CGPA value on a transcript.,https://ttb.utoronto.ca/cp/ACMD01H3
ACMD02,ACM,D02,ACMEE Applied Practice III,"An advanced study of the arts, culture and/or media sector through reflective practice. Students will further synthesize their classroom and work place / learning laboratory experiences, and play a mentorship role for students in earlier stages of the experiential education process.",0.5,ACMD01H3,Field Placement III (may be taken as a prerequisite with Program Director's permission),,"Arts, Literature and Language",University-Based Experience,This course will be graded as a CR if a student successfully completes their internship; and as NCR is the placement was unsuccessful. The NCR will impact the CGPA and count as a 0.0 CGPA value on a transcript.,https://ttb.utoronto.ca/cp/ACMD02H3
ACMD91,ACM,D91,Supervised Readings,"Independent study of an advanced and intensive kind, under the direction of a faculty member. The material studied should bear some significant relation to the student's previous work, and should differ significantly in content and/or concentration from topics offered in other courses.Students are advised that they must obtain consent from the supervising instructor before registering for these courses. The student should submit to the instructor a statement of objectives and proposed content for the course; this should be done by 15 April for 'F' courses and by 1 December for 'S' courses. If the proposal is approved, two faculty members from relevant disciplines will supervise and evaluate the work.",0.5,"3.0 credits at the B-level in the Department of Arts, Culture and Media.",,,,,,https://ttb.utoronto.ca/cp/ACMD91H3
ACMD92,ACM,D92,Supervised Readings,"Independent study of an advanced and intensive kind, under the direction of a faculty member. The material studied should bear some significant relation to the student's previous work, and should differ significantly in content and/or concentration from topics offered in other courses.Students are advised that they must obtain consent from the supervising instructor before registering for these courses. The student should submit to the instructor a statement of objectives and proposed content for the course; this should be done by 15 April for 'F' courses and by 1 December for 'S' courses. If the proposal is approved, two faculty members from relevant disciplines will supervise and evaluate the work.",0.5,"3.0 credits at the B-level in the Department of Arts, Culture and Media.",,,,,,https://ttb.utoronto.ca/cp/ACMD92H3
ACMD93,ACM,D93,Supervised Readings,"Independent study of an advanced and intensive kind, under the direction of a faculty member. The material studied should bear some significant relation to the student's previous work, and should differ significantly in content and/or concentration from topics offered in other courses.Students are advised that they must obtain consent from the supervising instructor before registering for these courses. The student should submit a statement of objectives and proposed content for the course to the instructor by 15 April for 'F' and 'Y' courses and by 1 December for 'S' courses. If the proposal is approved, two faculty members from relevant disciplines will supervise and evaluate the work.",0.5,"3.0 credits at the B-level in the Department of Arts, Culture and Media.",,,,,,https://ttb.utoronto.ca/cp/ACMD93Y3
ACMD94,ACM,D94,"Senior Collaboration Project in Arts, Culture and Media","This course is an advanced-level collaborative project for senior students in Arts, Culture and Media under the direction of one or more faculty members. While the course nature and focus will vary year to year, the project will likely be rooted in Arts, Culture and Media faculty research or an ongoing community partnership, and will likely involve experiential elements.",0.5,15.0 credits and enrolment in any ACM program,,,"History, Philosophy and Cultural Studies",University-Based Experience,,https://ttb.utoronto.ca/cp/ACMD94H3
ACMD98,ACM,D98,"Experiential Learning for Arts, Culture and Media Programs","This course offers students the opportunity to integrate experiential learning appropriate to students’ fields of study within the Department of Arts, Culture and Media. It provides student experiences that develop work and life-related skills and knowledge through a spectrum of interactive approaches with focused reflection. The course allows students to apply ACM-specific program knowledge and/or essential employability skills. Students must complete an application form made available on the UTSC Timetable and on the ACM website.",0.5,"[9.0 credits in courses offered by the Department of Arts, and Culture and Media], and cGPA of at least 2.5; selection will be based on the application form",,,"History, Philosophy and Cultural Studies",Partnership-Based Experience,"This is a 0.5 credit course. However, depending on the course content, it may be offered in a single-term or over two-terms. Priority will be given to students enrolled in programs offered by the Department of Arts, Culture and Media.",https://ttb.utoronto.ca/cp/ACMD98H3
ACMD99,ACM,D99,Work Integrated Learning for Arts Culture and Media Programs,"This course offers students the opportunity to integrate academic learning with an internship placement appropriate to students’ field of study within the Department of Arts, Culture and Media. The 0.5 credit, two-term course provides students an understanding of workplace dynamics while allowing them to refine and clarify professional and career goals through critical analysis of their work-integrated learning experience.",0.5,"[8.0 credits in courses offered by the Department of Arts, Culture and Media] and [CGPA of at least 3.0]; permission of the Arts Culture and Media Internship Coordinator",,,"History, Philosophy and Cultural Studies",Partnership-Based Experience,,https://ttb.utoronto.ca/cp/ACMD99H3
