exclusion_id,course_code,excluded_course,note
2,AFSC03H3,IDSC03H3,
3,AFSC19H3,IDSC19H3,
4,AFSC52H3,HISC52H3,
5,AFSC52H3,VPHC52H3,
6,AFSC55H3,HISC55H3,
7,AFSC70H3,HISC70H3,
8,AFSD07H3,IDSD07H3,
9,AFSD16H3,IDSD16H3,
10,AFSD20H3,IDSD20H3,
11,AFSD51H3,HISD51H3,
12,AFSD52H3,HISD52H3,
13,AFSD53H3,GASD53H3,
14,AFSD53H3,HISD53H3,
17,ANTB15H3,HLTB20H3,
21,ANTB35H3,MDSB28H3,
23,ANTB42H3,GASB42H3,
29,ANTC22H3,ANTC88H3,
33,ANTC53H3,MDSC36H3,
35,ANTC58H3,CLAC68H3,
36,ANTC58H3,HISC68H3,
39,ANTC59H3,MDSC21H3,
40,ANTC65H3,ANTC69H3,
45,ANTD71H3,HISD71H3,
46,ANTD71H3,ANTB64H3,
47,ANTD71H3,ANTC70H3,
48,ANTD99H3,ANTD13H3,
49,ANTD99H3,ANTC99H3,
61,BIOB33H3,HLTB33H3,
62,BIOB33H3,PMDB33H3,
64,BIOB35H3,BIOC32H3,
65,BIOB35H3,BIOC34H3,
67,BIOC10H3,BIOC12H3,
68,BIOC12H3,CHMB62H3,
69,BIOC12H3,CHMB42H3,
70,BIOC13H3,CHMB62H3,
99,CHMA11H3,CHMA12H3,
100,CHMA11H3,MATA29H3,
101,CHMA11H3,MATA30H3,
102,CHMB16H3,STAB22H3,
103,CHMB20H3,CHMB23H3,
104,CHMB21H3,MATA23H3,
105,CHMB23H3,CHMB20H3,
109,CHMB43Y3,CHMB41H3,
110,CHMB43Y3,CHMB42H3,
112,CHMB62H3,BIOC12H3,
113,CHMB62H3,BIOC13H3,
114,CHMC11H3,CHMB20H3,
115,CHMC11H3,CHMB21H3,
122,CHMC71H3,BIOC12H3,
123,CHMC71H3,CHMB62H3,
127,CHMD69H3,CHMC31Y3,
128,CHMD90Y3,CHMD91H3,
129,CHMD90Y3,CHMD92H3,
130,CHMD91H3,CHMD90Y3,
131,CHMD91H3,CHMD92H3,
132,CHMD92H3,CHMD90Y3,
133,CHMD92H3,CHMD91H3,
135,CITC07H3,CITC10H3,
137,CITC54H3,GGRC54H3,
138,CITC54H3,CITB07H3,
141,CITD12H3,CITD10H3,
143,CLAC05H3,HISC10H3,
145,CLAC22H3,CLAA05H3,
146,CLAC22H3,CLAA06H3,
147,CLAC24H3,HISC11H3,
148,CLAC24H3,CLAB05H3,
149,CLAC24H3,CLAB06H3,
150,CLAC26H3,HISC16H3,
151,CLAC67H3,HISC67H3,
152,CLAC68H3,ANTC58H3,
153,CLAC68H3,HISC68H3,
154,CLAC94H3,HISC94H3,
155,CLAD05H3,HISD10H3,
156,CLAD05H3,CLAB05H3,
157,CLAD05H3,CLAB06H3,
158,CLAD69H3,HISD69H3,
159,CLAD69H3,CLAB06H3,
160,CLAD69H3,HISB11H3,
161,CLAD69H3,CLAB09H3,
162,CLAD69H3,HISB09H3,
163,COPB10Y3,COPB11H3,
164,COPB10Y3,COPB12H3,
165,COPB10Y3,COPB13H3,
166,COPB10Y3,COPB14H3,
169,COPB11H3,COPB10Y3,
172,COPB12H3,COPB10Y3,
175,COPB13H3,COPB10Y3,
178,COPB14H3,COPB10Y3,
182,COPB31H3,COPB30H3,
183,COPB33H3,COPB31H3,
184,COPB50H3,COPB10Y3,
188,COPC01H3,COPC03H3,
189,COPC01H3,COPC05H3,
196,COPC02H3,COPC01H3,
197,COPC02H3,COPC03H3,
198,COPC02H3,COPC05H3,
205,COPC03H3,COPC01H3,
206,COPC03H3,COPC05H3,
213,COPC04H3,COPC01H3,
214,COPC04H3,COPC03H3,
215,COPC04H3,COPC05H3,
222,COPC05H3,COPC01H3,
223,COPC05H3,COPC03H3,
232,CRTC72H3,VPHC72H3,
235,CSCA08H3,CSCA20H3,
