group_id,program_code,group_type,min_courses,min_credits,path_id,combined_group_id,combined_min_credits,category,notes
1,SCCER1020,ALL,,,,,,Required,1. BIOD98Y3*
2,SCCBUS,ALL,,6.0,,,,Required,"1. Pass 6.0 credits in Economics for Management Studies courses and Management courses, including:"
3,SCCER1040,PICK,,0.5,,,,Required,1. 0.5 credit from the following:
4,SCCER1040,PICK,,1.0,,,,Required,3. At least 1.0 credit from the following:
5,SCCER1060,PICK,,1.0,,,,Required,1. 1.0 credit from the following:
6,SCCER1070,ALL,,,,,,Required,"2. 1.5 additional credits, at the C- or D-level, in Finance (MGF) courses offered by the Department of Management.*"
7,SCCER1010,PICK,,1.0,,,,Required,1. 1.0 credits from the following:
8,SCCER1010,PICK,,0.5,,,,Elective,3. At least 0.5 credit at the C- or D-level from the list of electives in Table 1 below.
9,SCCER1050,PICK,,1.0,,,,Elective,3. At least 1.0 credit at the C- or D-level from the list of electives in Table 1 below
10,SCMAJ1762C,ALL,,,,,,Co-op,Co-op Preparation Courses (Completed in First Year):
11,SCMAJ1762C,ALL,,,,,,Co-op,Work Term Search Courses:
12,SCMAJ1762C,ALL,,,,,,Co-op,Required Work Term Courses:
13,SCMAJ1762C,ALL,,,,,,Co-op,"After successful completion of the three required work terms, students interested in additional work terms will require approval from the Arts & Science Co-op Office. Additional coursework will also b"
14,SCMAJ1376C,ALL,,,,,,Co-op,Co-op Preparation Courses (Completed in First Year):
15,SCMAJ1376C,ALL,,,,,,Co-op,Work Term Search Courses:
16,SCMAJ1376C,ALL,,,,,,Co-op,Required Work Term Courses:
17,SCMAJ1376C,ALL,,,,,,Co-op,"After successful completion of the three required work terms, students interested in additional work terms will require approval from the Arts & Science Co-op Office.  Additional coursework will also "
18,SCMAJCITC,ALL,,,,,,Co-op,Co-op Preparation Courses (Completed in First Year):
19,SCMAJCITC,ALL,,,,,,Co-op,Work Term Search Courses:
20,SCMAJCITC,ALL,,,,,,Co-op,Co-op Work Term Courses:
21,SCMAJCITC,ALL,,,,,,Co-op,"Additional Work Term Courses: After successful completion of three required work terms, students interested in additional work terms will require approval from the Arts & Science Co-op Office. Additio"
22,SCMAJ1688C,ALL,,,,,,Co-op,Co-op Preparation Courses (Completed in First Year):
23,SCMAJ1688C,ALL,,,,,,Co-op,Work Term Search Courses:
24,SCMAJ1688C,ALL,,,,,,Co-op,Co-op Work Term Courses:
25,SCMAJ1688C,ALL,,,,,,Co-op,"After successful completion of three required work terms, students interested in additional work terms will require approval from the Arts & Science Co-op Office. Additional course work will also be r"
26,SCMAJ1645C,ALL,,,,,,Co-op,Co-op Preparation Courses (Completed in First Year):
27,SCMAJ1645C,ALL,,,,,,Co-op,Work Term Search Courses:
28,SCMAJ1645C,ALL,,,,,,Co-op,Co-op Work Term Courses:
29,SCMAJ1645C,ALL,,,,,,Co-op,"Additional Work Term Courses: After successful completion of three required work terms, students interested in additional work terms will require approval from the Arts & Science Co-op Office. Additio"
30,SCMAJ0361C,ALL,,,,,,Co-op,Co-op Preparation Courses (Completed in First Year):
31,SCMAJ0361C,ALL,,,,,,Co-op,Work Term Search Courses:
32,SCMAJ0361C,ALL,,,,,,Co-op,Required Work Term Courses:
