program_code,program_name,department_id,program_type,is_coop,is_limited_enrolment,total_credits,min_enrolment_cgpa,description
MACCFIN,"COMBINED DEGREE PROGRAMS, BACHELOR OF BUSINESS ADMINISTRATION / MASTER OF ACCOUNTING AND FINANCE",11,Combined,0,0,,,"The Combined Degree Programs for UTSC Bachelor of Business Administration (BBA) with the Master of Accounting and Finance (MAccFin) offered by the Graduate Department of Management allow exceptional students who are registered in one of the Specialist/Specialist Co-op programs identified below to apply during Year 2 of their undergraduate studies, and be considered, for admission to the MAccFin program. They are designed for students with no prior work experience who are interested in pursuing careers in account management, wealth management, consultancy, and entrepreneurship. Contact Information: Email: Maccfin@utsc.utoronto.ca"
SCCER1030,CERTIFICATE IN BIOARCHAEOLOGY,1,Certificate,0,0,,,"This Certificate will provide students with concentrated training in Bioarchaeology, the subdiscipline of Archaeology that focuses on the study of biological materials from archaeological sites, with a particular emphasis on skeletal remains (both human and non-human). Note: Courses for which students have selected the CR/NCR option, cannot be used towards the completion of this Certificate Enrolment Requirements"
SCCER1020,CERTIFICATE IN BIOLOGICAL SCIENCES RESEARCH EXCELLENCE,3,Certificate,0,0,,,"The Certificate in Biological Sciences Research Excellence will recognize students' research accomplishments in experiential, research-based learning experiences throughout their undergraduate programs. Note: Courses for which students have selected the CR/NCR option cannot be used towards the completion of this Certificate. However, courses that are graded as CR/NCR courses for all students (e.g., BIOB98H3 and BIOB99H3), can be used towards the completion of this Certificate. Enrolment Requirements"
SCCBUS,CERTIFICATE IN BUSINESS,11,Certificate,0,0,,,"The Certificate in Business is a part-time program designed to provide students with the skills they need to function as managers in today's rapidly changing workplace. It also gives students who already have degrees in other fields of study an opportunity to focus on business studies. Courses in the Certificate can be used towards various professional designations. Contact: Audrey Quirion, Undergraduate Coordinator"
SCCER1040,CERTIFICATE IN COMPUTATIONAL SOCIAL SCIENCE,16,Certificate,0,0,,,"Computational social science extends theories and analyses from the social science by leveraging tools and techniques from scientific computing and data science. The Certificate in computational social science provides students with training in statistics, modeling, and programming approaches to the analysis of social problems using data, and fosters critical thinking and communication skills crucial to social science research. Certificate Requirements Students must complete a minimum of 2.0 credits as follows:"
SCCER1060,CERTIFICATE IN ECONOMICS WITHIN MANAGEMENT AND INTERNATIONAL BUSINESS,11,Certificate,0,0,,,"The Certificate in Economics Within Management and International Business will recognize that students in the MIB program have taken extra courses in economics and will record that extra concentration on their transcripts. Note: Courses for which students have selected the CR/NCR option, cannot be used towards the completion of this Certificate Enrolment Requirements"
SC CEVAN,CERTIFICATE IN EVOLUTIONARY ANATOMY,1,Certificate,0,0,,,"This certificate will provide students with detailed knowledge of skeletal and dental anatomy in humans and related taxa from diverse perspectives, as well as a solid understanding of the evolutionary processes that led to that anatomy. Admission Requirements Successful completion of an undergraduate degree with a CGPA of 3.0 with a Specialist or Major in any Science discipline is required to enrol in the certificate program."
SCCER1070,CERTIFICATE IN FINANCE WITHIN MANAGEMENT AND INTERNATIONAL BUSINESS,11,Certificate,0,0,,,"The Certificate in Finance Within Management and International Business will recognize that students in the MIB program have taken extra courses in finance and will record that extra concentration on their transcripts. Note: Courses for which students have selected the CR/NCR option, cannot be used towards the completion of this Certificate Enrolment Requirements"
SCCER1010,"CERTIFICATE IN GLOBAL DEVELOPMENT, ENVIRONMENT AND HEALTH (UofT Global Scholar)",6,Certificate,0,0,,,"The Certificate in Global Development, Environment, and Health (U of T Global Scholar) builds upon UTSC's longstanding academic strength in globally-oriented, interdisciplinary, and experiential education. This certificate will facilitate, support and ultimately recognize, this global perspective. Note: Courses for which students have selected the CR/NCR option, cannot be used towards the completion of this Certificate Certificate Requirements"
SCCER1080,CERTIFICATE IN HUMAN RESOURCES WITHIN MANAGEMENT AND INTERNATIONAL BUSINESS,11,Certificate,0,0,,,"The Certificate in Human Resources Within Management and International Business will recognize that students in the MIB program have taken extra courses in human resources/organizational behaviour and will record that extra concentration on their transcripts. Note: Courses for which students have selected the CR/NCR option, cannot be used towards the completion of this Certificate Enrolment Requirements"
