item_id,group_id,item_type,course_code,min_credits,department_prefix,min_cgpa,program_code,year_standing,notes
1,1,MIN_CREDITS_TOTAL,,4,,,,,
2,2,COURSE,VPAB16H3,,,,,,
3,2,COURSE,VPAB17H3,,,,,,
4,2,PERMISSION,,,,,,,Instructor or program permission/consent required
5,2,MIN_CREDITS_TOTAL,,9,,,,,
6,3,PERMISSION,,,,,,,Instructor or program permission/consent required
7,4,COURSE,ACMC01H3,,,,,,
8,5,PERMISSION,,,,,,,Instructor or program permission/consent required
9,6,COURSE,ACMD01H3,,,,,,
10,7,PERMISSION,,,,,,,Instructor or program permission/consent required
11,8,MIN_CREDITS_TOTAL,,3,,,,,
12,9,MIN_CREDITS_TOTAL,,3,,,,,
13,10,MIN_CREDITS_TOTAL,,3,,,,,
14,11,PROGRAM_ENROLLMENT,,,,,,,
15,11,MIN_CREDITS_TOTAL,,15,,,,,
16,12,MIN_CGPA,,,,2.5,,,
17,12,MIN_CREDITS_TOTAL,,9,,,,,
18,13,MIN_CGPA,,,,3,,,
19,13,PERMISSION,,,,,,,Instructor or program permission/consent required
20,13,MIN_CREDITS_TOTAL,,8,,,,,
21,14,COURSE,IDSA01H3,,,,,,
22,14,COURSE,AFSA01H3,,,,,,
23,14,PERMISSION,,,,,,,Instructor or program permission/consent required
24,15,COURSE,IDSA01H3,,,,,,
25,15,COURSE,AFSA01H3,,,,,,
26,15,PERMISSION,,,,,,,Instructor or program permission/consent required
27,16,COURSE,AFSA01H3,,,,,,
28,16,COURSE,IDSA01H3,,,,,,
29,16,COURSE,POLB90H3,,,,,,
30,16,PERMISSION,,,,,,,Instructor or program permission/consent required
31,17,COURSE,VPHA46H3,,,,,,
32,17,MIN_CREDITS_TOTAL,,1,,,,,
33,18,COURSE,VPHA46H3,,,,,,
34,18,MIN_CREDITS_TOTAL,,1,,,,,
35,19,COURSE,AFSB50H3,,,,,,
36,19,COURSE,HISB50H3,,,,,,
37,19,COURSE,AFSB51H3,,,,,,
38,19,COURSE,HISB51H3,,,,,,
39,19,COURSE,HISC50H3,,,,,,
40,19,COURSE,HISC51H3,,,,,,
41,19,MIN_CREDITS_TOTAL,,4,,,,,
42,20,COURSE,AFSB50H3,,,,,,
43,20,COURSE,HISB50H3,,,,,,
44,20,COURSE,AFSB51H3,,,,,,
45,20,COURSE,HISB51H3,,,,,,
46,20,COURSE,HISC50H3,,,,,,
47,20,COURSE,HISC51H3,,,,,,
48,20,MIN_CREDITS_TOTAL,,4,,,,,
49,21,MIN_CREDITS_TOTAL,,4,,,,,
50,21,MIN_CREDITS_TOTAL,,0.5,,,,,
51,22,MIN_CREDITS_TOTAL,,4,,,,,
52,22,MIN_CREDITS_TOTAL,,0.5,,,,,
53,23,COURSE,AFSA01H3,,,,,,
54,23,COURSE,IDSA01H3,,,,,,
55,23,COURSE,POLB90H3,,,,,,
56,23,PERMISSION,,,,,,,Instructor or program permission/consent required
57,23,MIN_CREDITS_TOTAL,,10,,,,,
58,24,COURSE,AFSA01H3,,,,,,
59,24,COURSE,IDSA01H3,,,,,,
60,24,COURSE,POLB90H3,,,,,,
61,24,PERMISSION,,,,,,,Instructor or program permission/consent required
62,24,MIN_CREDITS_TOTAL,,10,,,,,
63,25,COURSE,AFSA01H3,,,,,,
64,25,COURSE,IDSA01H3,,,,,,
65,25,COURSE,POLB90H3,,,,,,
66,25,PERMISSION,,,,,,,Instructor or program permission/consent required
67,25,MIN_CREDITS_TOTAL,,10,,,,,
68,26,COURSE,AFSA01H3,,,,,,
69,26,COURSE,IDSA01H3,,,,,,
70,26,COURSE,POLB90H3,,,,,,
71,26,PERMISSION,,,,,,,Instructor or program permission/consent required
72,26,MIN_CREDITS_TOTAL,,10,,,,,
73,27,COURSE,IDSA01H3,,,,,,
74,27,COURSE,AFSA01H3,,,,,,
75,27,COURSE,POLC09H3,,,,,,
76,27,PERMISSION,,,,,,,Instructor or program permission/consent required
77,28,COURSE,IDSA01H3,,,,,,
78,28,COURSE,AFSA01H3,,,,,,
79,28,COURSE,POLC09H3,,,,,,
80,28,PERMISSION,,,,,,,Instructor or program permission/consent required
81,29,COURSE,HISB50H3,,,,,,
82,29,COURSE,AFSB50H3,,,,,,
83,29,COURSE,HISB51H3,,,,,,
84,29,COURSE,AFSB51H3,,,,,,
85,29,COURSE,HISB54H3,,,,,,
86,29,COURSE,AFSB54H3,,,,,,
87,29,COURSE,HISC55H3,,,,,,
88,29,COURSE,AFSC55H3,,,,,,
89,29,MIN_CREDITS_TOTAL,,8,,,,,
90,30,COURSE,HISB50H3,,,,,,
91,30,COURSE,AFSB50H3,,,,,,
92,30,COURSE,HISB51H3,,,,,,
93,30,COURSE,AFSB51H3,,,,,,
94,30,COURSE,HISB54H3,,,,,,
95,30,COURSE,AFSB54H3,,,,,,
96,30,COURSE,HISC55H3,,,,,,
97,30,COURSE,AFSC55H3,,,,,,
98,30,MIN_CREDITS_TOTAL,,8,,,,,
99,31,MIN_CREDITS_TOTAL,,8,,,,,
100,31,MIN_CREDITS_TOTAL,,1,,,,,
101,32,MIN_CREDITS_TOTAL,,8,,,,,
102,32,MIN_CREDITS_TOTAL,,1,,,,,
103,33,COURSE,ANTA02H3,,,,,,
104,33,MIN_CREDITS_TOTAL,,2,,,,,
105,34,COURSE,ANTA02H3,,,,,,
106,34,MIN_CREDITS_TOTAL,,2,,,,,
107,35,COURSE,ANTA01H3,,,,,,
108,36,COURSE,ANTA01H3,,,,,,
109,36,COURSE,HLTA02H3,,,,,,
110,36,COURSE,HLTA03H3,,,,,,
111,37,COURSE,ANTA02H3,,,,,,
112,37,MIN_CREDITS_TOTAL,,2,,,,,
113,38,COURSE,ANTA02H3,,,,,,
114,38,MIN_CREDITS_TOTAL,,2,,,,,
115,39,COURSE,ANTA02H3,,,,,,
116,39,MIN_CREDITS_TOTAL,,2,,,,,
117,40,COURSE,ANTA02H3,,,,,,
118,40,MIN_CREDITS_TOTAL,,2,,,,,
119,41,COURSE,ANTA02H3,,,,,,
120,41,COURSE,MDSA10H3,,,,,,
121,41,COURSE,MDSA01H3,,,,,,
