group_id,course_code,req_type,group_logic,path_id
1,ACMB10H3,PREREQ,OR,1
2,ACMC01H3,PREREQ,AND,1
3,ACMC01H3,COREQ,OR,1
4,ACMD01H3,PREREQ,OR,1
5,ACMD01H3,COREQ,OR,1
6,ACMD02H3,PREREQ,OR,1
7,ACMD02H3,COREQ,OR,1
8,ACMD91H3,PREREQ,AND,1
9,ACMD92H3,PREREQ,AND,1
10,ACMD93Y3,PREREQ,AND,1
11,ACMD94H3,PREREQ,AND,1
12,ACMD98H3,PREREQ,AND,1
13,ACMD99H3,PREREQ,AND,1
14,AFSC03H3,PREREQ,OR,1
15,AFSC03H3,PREREQ,OR,2
16,AFSC19H3,PREREQ,OR,1
17,AFSC52H3,PREREQ,OR,1
18,AFSC52H3,PREREQ,OR,2
19,AFSC55H3,PREREQ,OR,1
20,AFSC55H3,PREREQ,OR,2
21,AFSC70H3,PREREQ,OR,1
22,AFSC70H3,PREREQ,OR,2
23,AFSD07H3,PREREQ,OR,1
24,AFSD07H3,PREREQ,OR,2
25,AFSD16H3,PREREQ,OR,1
26,AFSD16H3,PREREQ,OR,2
27,AFSD20H3,PREREQ,OR,1
28,AFSD20H3,PREREQ,OR,2
29,AFSD51H3,PREREQ,OR,1
30,AFSD52H3,PREREQ,OR,1
31,AFSD53H3,PREREQ,OR,1
32,AFSD53H3,PREREQ,AND,2
33,ANTB02H3,PREREQ,OR,1
34,ANTB02H3,PREREQ,OR,2
35,ANTB14H3,PREREQ,OR,1
36,ANTB15H3,PREREQ,OR,1
37,ANTB19H3,PREREQ,OR,1
38,ANTB19H3,PREREQ,OR,2
39,ANTB20H3,PREREQ,OR,1
40,ANTB20H3,PREREQ,OR,2
41,ANTB35H3,PREREQ,OR,1
42,ANTB35H3,PREREQ,OR,2
43,ANTB35H3,PREREQ,OR,3
44,ANTB36H3,PREREQ,OR,1
45,ANTB36H3,PREREQ,OR,2
46,ANTB42H3,PREREQ,OR,1
47,ANTB42H3,PREREQ,AND,2
48,ANTB64H3,PREREQ,OR,1
49,ANTB80H3,PREREQ,OR,1
50,ANTC07H3,PREREQ,OR,1
51,ANTC07H3,PREREQ,OR,2
52,ANTC09H3,PREREQ,OR,1
53,ANTC09H3,PREREQ,OR,2
54,ANTC10H3,PREREQ,OR,1
55,ANTC10H3,PREREQ,OR,2
56,ANTC14H3,PREREQ,OR,1
57,ANTC14H3,PREREQ,OR,2
58,ANTC15H3,PREREQ,OR,1
59,ANTC16H3,PREREQ,OR,1
60,ANTC18H3,PREREQ,OR,1
61,ANTC19H3,PREREQ,OR,1
62,ANTC19H3,PREREQ,OR,2
63,ANTC20H3,PREREQ,OR,1
64,ANTC21H3,PREREQ,OR,1
65,ANTC21H3,PREREQ,OR,2
66,ANTC22H3,PREREQ,OR,1
67,ANTC22H3,PREREQ,OR,2
68,ANTC24H3,PREREQ,OR,1
69,ANTC24H3,PREREQ,OR,2
70,ANTC25H3,PREREQ,OR,1
71,ANTC25H3,PREREQ,OR,2
72,ANTC27H3,PREREQ,OR,1
73,ANTC28H3,PREREQ,OR,1
74,ANTC28H3,PREREQ,OR,2
75,ANTC28H3,PREREQ,OR,3
76,ANTC28H3,PREREQ,OR,4
77,ANTC28H3,PREREQ,OR,5
78,ANTC28H3,PREREQ,OR,6
79,ANTC30H3,PREREQ,OR,1
80,ANTC31H3,PREREQ,OR,1
81,ANTC32H3,PREREQ,OR,1
82,ANTC32H3,PREREQ,OR,2
83,ANTC33H3,PREREQ,OR,1
84,ANTC33H3,PREREQ,OR,2
85,ANTC34H3,PREREQ,OR,1
86,ANTC34H3,PREREQ,OR,2
87,ANTC44H3,PREREQ,OR,1
88,ANTC44H3,PREREQ,OR,2
89,ANTC47H3,PREREQ,OR,1
90,ANTC48H3,PREREQ,OR,1
91,ANTC52H3,PREREQ,OR,1
92,ANTC52H3,PREREQ,OR,2
93,ANTC53H3,PREREQ,OR,1
94,ANTC53H3,PREREQ,OR,2
95,ANTC53H3,PREREQ,OR,3
96,ANTC53H3,PREREQ,OR,4
97,ANTC53H3,PREREQ,AND,5
98,ANTC55H3,PREREQ,AND,1
99,ANTC58H3,PREREQ,OR,1
100,ANTC58H3,PREREQ,OR,2
101,ANTC58H3,PREREQ,OR,3
102,ANTC59H3,PREREQ,OR,1
103,ANTC61H3,PREREQ,OR,1
104,ANTC61H3,PREREQ,OR,2
105,ANTC65H3,PREREQ,OR,1
106,ANTC65H3,PREREQ,OR,2
107,ANTC66H3,PREREQ,OR,1
108,ANTC69H3,PREREQ,OR,1
109,ANTC69H3,PREREQ,OR,2
110,ANTC70H3,PREREQ,OR,1
111,ANTC71H3,PREREQ,AND,1
112,ANTC71H3,PREREQ,OR,2
113,ANTC71H3,PREREQ,OR,3
114,ANTC71H3,PREREQ,OR,4
115,ANTC80H3,PREREQ,OR,1
116,ANTC80H3,PREREQ,OR,2
117,ANTC88H3,PREREQ,OR,1
118,ANTC88H3,PREREQ,OR,2
119,ANTC90H3,PREREQ,AND,1
120,ANTC99H3,PREREQ,OR,1
121,ANTD04H3,PREREQ,OR,1
122,ANTD05H3,PREREQ,OR,1
123,ANTD05H3,PREREQ,AND,2
124,ANTD05H3,PREREQ,OR,3
125,ANTD06H3,PREREQ,OR,1
126,ANTD07H3,PREREQ,OR,1
127,ANTD10H3,PREREQ,OR,1
128,ANTD13H3,PREREQ,OR,1
129,ANTD15H3,PREREQ,OR,1
130,ANTD16H3,PREREQ,OR,1
131,ANTD17H3,PREREQ,OR,1
132,ANTD17H3,PREREQ,OR,2
133,ANTD18H3,PREREQ,OR,1
134,ANTD19H3,PREREQ,OR,1
135,ANTD19H3,PREREQ,OR,2
136,ANTD20H3,PREREQ,OR,1
137,ANTD22H3,PREREQ,OR,1
138,ANTD25H3,PREREQ,OR,1
139,ANTD26H3,PREREQ,OR,1
140,ANTD26H3,PREREQ,AND,2
141,ANTD26H3,PREREQ,AND,3
142,ANTD33H3,PREREQ,OR,1
143,ANTD33H3,PREREQ,OR,2
144,ANTD33H3,PREREQ,OR,3
145,ANTD33H3,PREREQ,OR,4
146,ANTD35H3,PREREQ,OR,1
147,ANTD40H3,PREREQ,OR,1
148,ANTD41H3,PREREQ,OR,1
149,ANTD50H3,PREREQ,OR,1
150,ANTD60H3,PREREQ,AND,1
151,ANTD70H3,PREREQ,AND,1
152,ANTD71H3,PREREQ,OR,1
153,ANTD71H3,PREREQ,OR,2
154,ANTD71H3,PREREQ,OR,3
155,ANTD98H3,PREREQ,OR,1
156,ANTD99H3,PREREQ,OR,1
157,ASTB03H3,PREREQ,OR,1
158,ASTB23H3,PREREQ,AND,1
159,ASTB23H3,COREQ,OR,1
160,ASTC02H3,PREREQ,OR,1
161,ASTC25H3,PREREQ,OR,1
162,ASTC25H3,COREQ,OR,1
163,BIOA01H3,PREREQ,OR,1
164,BIOA01H3,PREREQ,AND,2
165,BIOA01H3,PREREQ,AND,3
166,BIOA01H3,PREREQ,OR,4
167,BIOA01H3,PREREQ,OR,5
168,BIOA02H3,PREREQ,OR,1
169,BIOA02H3,PREREQ,AND,2
170,BIOA02H3,PREREQ,AND,3
171,BIOA02H3,PREREQ,OR,4
172,BIOA02H3,PREREQ,OR,5
173,BIOB10H3,PREREQ,OR,1
174,BIOB11H3,PREREQ,OR,1
175,BIOB12H3,PREREQ,OR,1
176,BIOB12H3,COREQ,OR,1
177,BIOB20H3,PREREQ,OR,1
178,BIOB33H3,PREREQ,OR,1
179,BIOB33H3,PREREQ,OR,2
180,BIOB34H3,PREREQ,OR,1
181,BIOB35H3,PREREQ,OR,1
182,BIOB38H3,PREREQ,OR,1
183,BIOB50H3,PREREQ,OR,1
184,BIOB51H3,PREREQ,OR,1
185,BIOB52H3,PREREQ,OR,1
186,BIOB52H3,COREQ,OR,1
187,BIOB98H3,PREREQ,OR,1
188,BIOB99H3,PREREQ,OR,1
