group_id,program_code,req_category,item_type,course_code,min_credits,max_credits,department_id,min_cgpa,notes
1,SCCER1020,ENROLMENT,PROGRAM_ENROLLMENT,,,,,,Students must be enrolled in any Major or Specialist program offered by the Department of Biological Sciences.
2,SCMAJ1762C,ENROLMENT,COURSE,BIOA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, CHMA10H3, CHMA11H3, [MATA29H3 or MATA30H3] and [MATA35H3 or MATA36H3], plus a cumulative GPA of at least 2.50."
3,SCMAJ1762C,ENROLMENT,COURSE,BIOA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, CHMA10H3, CHMA11H3, [MATA29H3 or MATA30H3] and [MATA35H3 or MATA36H3], plus a cumulative GPA of at least 2.50."
4,SCMAJ1762C,ENROLMENT,COURSE,CHMA10H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, CHMA10H3, CHMA11H3, [MATA29H3 or MATA30H3] and [MATA35H3 or MATA36H3], plus a cumulative GPA of at least 2.50."
5,SCMAJ1762C,ENROLMENT,COURSE,CHMA11H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, CHMA10H3, CHMA11H3, [MATA29H3 or MATA30H3] and [MATA35H3 or MATA36H3], plus a cumulative GPA of at least 2.50."
6,SCMAJ1762C,ENROLMENT,COURSE,MATA29H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, CHMA10H3, CHMA11H3, [MATA29H3 or MATA30H3] and [MATA35H3 or MATA36H3], plus a cumulative GPA of at least 2.50."
7,SCMAJ1762C,ENROLMENT,COURSE,MATA30H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, CHMA10H3, CHMA11H3, [MATA29H3 or MATA30H3] and [MATA35H3 or MATA36H3], plus a cumulative GPA of at least 2.50."
8,SCMAJ1762C,ENROLMENT,COURSE,MATA35H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, CHMA10H3, CHMA11H3, [MATA29H3 or MATA30H3] and [MATA35H3 or MATA36H3], plus a cumulative GPA of at least 2.50."
9,SCMAJ1762C,ENROLMENT,COURSE,MATA36H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, CHMA10H3, CHMA11H3, [MATA29H3 or MATA30H3] and [MATA35H3 or MATA36H3], plus a cumulative GPA of at least 2.50."
10,SCMAJ1030M,ENROLMENT,MIN_CGPA,,,,,2.5,"The minimum qualifications for entry are 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
11,SCMAJ1030M,ENROLMENT,COURSE,BIOA11H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
12,SCMAJ1030M,ENROLMENT,COURSE,BIOA12H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
13,SCMAJ1030M,ENROLMENT,COURSE,MATA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
14,SCMAJ1376C,ENROLMENT,COURSE,CHMA10H3,,,,,"The minimum qualifications for entry are 4.0 credits, including CHMA10H3, CHMA11H3, MATA30H3, MATA36H3, PHYA10H3 and PHYA21H3, plus a cumulative GPA of at least 2.50."
15,SCMAJ1376C,ENROLMENT,COURSE,CHMA11H3,,,,,"The minimum qualifications for entry are 4.0 credits, including CHMA10H3, CHMA11H3, MATA30H3, MATA36H3, PHYA10H3 and PHYA21H3, plus a cumulative GPA of at least 2.50."
16,SCMAJ1376C,ENROLMENT,COURSE,MATA30H3,,,,,"The minimum qualifications for entry are 4.0 credits, including CHMA10H3, CHMA11H3, MATA30H3, MATA36H3, PHYA10H3 and PHYA21H3, plus a cumulative GPA of at least 2.50."
17,SCMAJ1376C,ENROLMENT,COURSE,MATA36H3,,,,,"The minimum qualifications for entry are 4.0 credits, including CHMA10H3, CHMA11H3, MATA30H3, MATA36H3, PHYA10H3 and PHYA21H3, plus a cumulative GPA of at least 2.50."
18,SCMAJ1376C,ENROLMENT,COURSE,PHYA10H3,,,,,"The minimum qualifications for entry are 4.0 credits, including CHMA10H3, CHMA11H3, MATA30H3, MATA36H3, PHYA10H3 and PHYA21H3, plus a cumulative GPA of at least 2.50."
19,SCMAJ1376C,ENROLMENT,COURSE,PHYA21H3,,,,,"The minimum qualifications for entry are 4.0 credits, including CHMA10H3, CHMA11H3, MATA30H3, MATA36H3, PHYA10H3 and PHYA21H3, plus a cumulative GPA of at least 2.50."
20,SCMAJ1150C,ENROLMENT,COURSE,BIOA11H3,,,,,"Students apply to the Major (Co-operative) Program in Conservation and Biodiversity after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative grade point average (CGPA) of at least 2.5 or higher is required for admission."
21,SCMAJ1150C,ENROLMENT,COURSE,BIOA12H3,,,,,"Students apply to the Major (Co-operative) Program in Conservation and Biodiversity after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative grade point average (CGPA) of at least 2.5 or higher is required for admission."
