group_id,course_code,group_type,req_type,min_credits,min_courses
1,ACMB10,AND,PREREQ,0,0
2,ACMC01,AND,PREREQ,0,0
3,ACMC01,AND,COREQ,0,0
4,ACMD01,AND,PREREQ,0,0
5,ACMD01,AND,COREQ,0,0
6,ACMD02,AND,PREREQ,0,0
7,ACMD02,AND,COREQ,0,0
8,ACMD91,AND,PREREQ,0,0
9,ACMD92,AND,PREREQ,0,0
10,ACMD93,AND,PREREQ,0,0
11,ACMD94,AND,PREREQ,0,0
12,ACMD98,AND,PREREQ,0,0
13,ACMD99,AND,PREREQ,0,0
14,AFSC03,AND,PREREQ,0,0
15,AFSC19,AND,PREREQ,0,0
16,AFSC52,AND,PREREQ,0,0
17,AFSC55,AND,PREREQ,0,0
18,AFSC70,AND,PREREQ,0,0
19,AFSD07,AND,PREREQ,0,0
20,AFSD16,AND,PREREQ,0,0
21,AFSD20,AND,PREREQ,0,0
22,AFSD51,AND,PREREQ,0,0
23,AFSD52,AND,PREREQ,0,0
24,AFSD53,AND,PREREQ,0,0
25,ANTB02,AND,PREREQ,0,0
26,ANTB14,AND,PREREQ,0,0
27,ANTB15,AND,PREREQ,0,0
28,ANTB19,AND,PREREQ,0,0
29,ANTB20,AND,PREREQ,0,0
30,ANTB35,AND,PREREQ,0,0
31,ANTB36,AND,PREREQ,0,0
32,ANTB42,AND,PREREQ,0,0
33,ANTB64,AND,PREREQ,0,0
34,ANTB80,AND,PREREQ,0,0
35,ANTC07,AND,PREREQ,0,0
36,ANTC09,AND,PREREQ,0,0
37,ANTC10,AND,PREREQ,0,0
38,ANTC14,AND,PREREQ,0,0
39,ANTC15,AND,PREREQ,0,0
40,ANTC16,AND,PREREQ,0,0
41,ANTC18,AND,PREREQ,0,0
42,ANTC19,AND,PREREQ,0,0
43,ANTC20,AND,PREREQ,0,0
44,ANTC21,AND,PREREQ,0,0
45,ANTC22,AND,PREREQ,0,0
46,ANTC24,AND,PREREQ,0,0
47,ANTC25,AND,PREREQ,0,0
48,ANTC27,AND,PREREQ,0,0
49,ANTC28,AND,PREREQ,0,0
50,ANTC30,AND,PREREQ,0,0
51,ANTC31,AND,PREREQ,0,0
52,ANTC32,AND,PREREQ,0,0
53,ANTC33,AND,PREREQ,0,0
54,ANTC34,AND,PREREQ,0,0
55,ANTC44,AND,PREREQ,0,0
56,ANTC47,AND,PREREQ,0,0
57,ANTC48,AND,PREREQ,0,0
58,ANTC52,AND,PREREQ,0,0
59,ANTC53,AND,PREREQ,0,0
60,ANTC55,AND,PREREQ,0,0
61,ANTC58,AND,PREREQ,0,0
62,ANTC59,AND,PREREQ,0,0
63,ANTC61,AND,PREREQ,0,0
64,ANTC65,AND,PREREQ,0,0
65,ANTC66,AND,PREREQ,0,0
66,ANTC69,AND,PREREQ,0,0
67,ANTC70,AND,PREREQ,0,0
68,ANTC71,AND,PREREQ,0,0
69,ANTC80,AND,PREREQ,0,0
70,ANTC88,AND,PREREQ,0,0
71,ANTC90,AND,PREREQ,0,0
72,ANTC99,AND,PREREQ,0,0
73,ANTD04,AND,PREREQ,0,0
74,ANTD05,AND,PREREQ,0,0
75,ANTD06,AND,PREREQ,0,0
76,ANTD07,AND,PREREQ,0,0
77,ANTD10,AND,PREREQ,0,0
78,ANTD13,AND,PREREQ,0,0
79,ANTD15,AND,PREREQ,0,0
80,ANTD16,AND,PREREQ,0,0
81,ANTD17,AND,PREREQ,0,0
82,ANTD18,AND,PREREQ,0,0
83,ANTD19,AND,PREREQ,0,0
84,ANTD20,AND,PREREQ,0,0
85,ANTD22,AND,PREREQ,0,0
86,ANTD25,AND,PREREQ,0,0
87,ANTD26,AND,PREREQ,0,0
88,ANTD33,AND,PREREQ,0,0
89,ANTD35,AND,PREREQ,0,0
90,ANTD40,AND,PREREQ,0,0
91,ANTD41,AND,PREREQ,0,0
92,ANTD50,AND,PREREQ,0,0
93,ANTD60,AND,PREREQ,0,0
94,ANTD70,AND,PREREQ,0,0
95,ANTD71,AND,PREREQ,0,0
96,ANTD98,AND,PREREQ,0,0
97,ANTD99,AND,PREREQ,0,0
98,ASTB03,AND,PREREQ,0,0
99,ASTB23,AND,PREREQ,0,0
100,ASTB23,AND,COREQ,0,0
101,ASTC02,AND,PREREQ,0,0
102,ASTC25,AND,PREREQ,0,0
103,ASTC25,AND,COREQ,0,0
104,BIOA01,AND,PREREQ,0,0
105,BIOA02,AND,PREREQ,0,0
106,BIOB10,AND,PREREQ,0,0
107,BIOB11,AND,PREREQ,0,0
108,BIOB12,AND,PREREQ,0,0
109,BIOB12,AND,COREQ,0,0
110,BIOB20,AND,PREREQ,0,0
111,BIOB33,AND,PREREQ,0,0
112,BIOB34,AND,PREREQ,0,0
113,BIOB35,AND,PREREQ,0,0
114,BIOB38,AND,PREREQ,0,0
115,BIOB50,AND,PREREQ,0,0
116,BIOB51,AND,PREREQ,0,0
117,BIOB52,AND,PREREQ,0,0
