group_id,program_code,group_type,min_courses,min_credits,path_id,combined_group_id,combined_min_credits,category,notes
1,,ALL,,10.0,,,,Required,
2,SCCER1030,ALL,,2.0,,,,Required,
3,SCCER1020,ALL,,1.5,,,,Required,
4,SCCBUS,ALL,,,,,,Required,
5,SCCER1040,ALL,,2.0,,,,Required,
6,SCCER1060,ALL,,2.0,,,,Required,
7,SC CEVAN,ALL,,2.0,,,,Required,
8,SCCER1070,ALL,,2.0,,,,Required,
9,SCCER1010,ALL,,,,,,Required,
10,SCCER1080,ALL,,2.0,,,,Required,
11,SCCER1110,ALL,,2.0,,,,Required,
12,SCCER1050,ALL,,2.0,,,,Required,
13,,ALL,,5.0,,,,Required,
14,,ALL,,5.0,,,,Required,
15,,ALL,,5.0,,,,Required,
16,,ALL,,5.0,,,,Required,
17,,ALL,,4.0,,,,Required,
18,SCMAJ1762C,ALL,,4.0,,,,Required,
19,SCMAJ1030M,ALL,,4.0,,,,Required,
20,SCMAJ1376C,ALL,,4.0,,,,Required,
21,SCMAJCITC,ALL,,4.0,,,,Required,
22,SCMAJ1688C,ALL,,4.0,,,,Required,
23,SCMAJ1150C,ALL,,4.0,,,,Required,
24,SCMAJ1645C,ALL,,4.0,,,,Required,
25,SCMAJ0361C,ALL,,4.0,,,,Required,
26,SCMAJ1076A,ALL,,4.0,,,,Required,
27,SCMAJ1780M,ALL,,4.0,,,,Required,
28,SCMAJ2156C,ALL,,4.0,,,,Required,
29,SCMAJ2086J,ALL,,4.0,,,,Required,
30,SCMAJ0652C,ALL,,4.0,,,,Required,
31,SCMAJ0215C,ALL,,4.0,,,,Required,
32,SCMAJ0506C,ALL,,4.0,,,,Required,
33,SCMAJ1165C,ALL,,4.0,,,,Required,
34,SCMAJ1160N,ALL,,4.0,,,,Required,
35,SCMAJ0220C,ALL,,4.0,,,,Required,
36,SCMAJ1472C,ALL,,4.0,,,,Required,
37,SCMAJ0231C,ALL,,4.0,,,,Required,
38,SCMAJ1060C,ALL,,4.0,,,,Required,
39,SCMAJ2086K,ALL,,4.0,,,,Required,
40,SCMAJ1160C,ALL,,4.0,,,,Required,
41,SCMAJPUBPC,ALL,,4.0,,,,Required,
42,SCMAJ2289C,ALL,,4.0,,,,Required,
43,SCMAJ0571H,ALL,,4.0,,,,Required,
44,SCMAJNME,ALL,,,,,,Required,
45,SCMAJ0616,ALL,,,,,,Required,
46,SCMAJ0617,ALL,,7.5,,,,Required,
47,SCMAJ1762,ALL,,9.0,,,,Required,
48,SCMAJ1030B,ALL,,,,,,Required,
49,SCMAJ1376,ALL,,8.5,,,,Required,
50,SCMAJCIT,ALL,,7.0,,,,Required,
51,SCMAJ2745,ALL,,8.5,,,,Required,
52,SCMAJ1688,ALL,,,,,,Required,
