group_id,course_code,req_type,group_logic,path_id
1,ACMB10,PREREQ,OR,1
2,ACMC01,PREREQ,AND,1
3,ACMC01,COREQ,OR,1
4,ACMD01,PREREQ,OR,1
5,ACMD01,COREQ,OR,1
6,ACMD02,PREREQ,OR,1
7,ACMD02,COREQ,OR,1
8,ACMD91,PREREQ,AND,1
9,ACMD92,PREREQ,AND,1
10,ACMD93,PREREQ,AND,1
11,ACMD94,PREREQ,AND,1
12,ACMD98,PREREQ,AND,1
13,ACMD99,PREREQ,AND,1
14,AFSC03,PREREQ,OR,1
15,AFSC03,PREREQ,OR,2
16,AFSC19,PREREQ,OR,1
17,AFSC52,PREREQ,OR,1
18,AFSC52,PREREQ,OR,2
19,AFSC55,PREREQ,OR,1
20,AFSC55,PREREQ,OR,2
21,AFSC70,PREREQ,OR,1
22,AFSC70,PREREQ,OR,2
23,AFSD07,PREREQ,OR,1
24,AFSD07,PREREQ,OR,2
25,AFSD16,PREREQ,OR,1
26,AFSD16,PREREQ,OR,2
27,AFSD20,PREREQ,OR,1
28,AFSD20,PREREQ,OR,2
29,AFSD51,PREREQ,OR,1
30,AFSD52,PREREQ,OR,1
31,AFSD53,PREREQ,OR,1
32,AFSD53,PREREQ,AND,2
33,ANTB02,PREREQ,OR,1
34,ANTB02,PREREQ,OR,2
35,ANTB14,PREREQ,OR,1
36,ANTB15,PREREQ,OR,1
37,ANTB19,PREREQ,OR,1
38,ANTB19,PREREQ,OR,2
39,ANTB20,PREREQ,OR,1
40,ANTB20,PREREQ,OR,2
41,ANTB35,PREREQ,OR,1
42,ANTB35,PREREQ,OR,2
43,ANTB35,PREREQ,OR,3
44,ANTB36,PREREQ,OR,1
45,ANTB36,PREREQ,OR,2
46,ANTB42,PREREQ,OR,1
47,ANTB42,PREREQ,AND,2
48,ANTB64,PREREQ,OR,1
49,ANTB80,PREREQ,OR,1
50,ANTC07,PREREQ,OR,1
51,ANTC07,PREREQ,OR,2
52,ANTC09,PREREQ,OR,1
53,ANTC09,PREREQ,OR,2
54,ANTC10,PREREQ,OR,1
55,ANTC10,PREREQ,OR,2
56,ANTC14,PREREQ,OR,1
57,ANTC14,PREREQ,OR,2
58,ANTC15,PREREQ,OR,1
59,ANTC16,PREREQ,OR,1
60,ANTC18,PREREQ,OR,1
61,ANTC19,PREREQ,OR,1
62,ANTC19,PREREQ,OR,2
63,ANTC20,PREREQ,OR,1
64,ANTC21,PREREQ,OR,1
65,ANTC21,PREREQ,OR,2
66,ANTC22,PREREQ,OR,1
67,ANTC22,PREREQ,OR,2
68,ANTC24,PREREQ,OR,1
69,ANTC24,PREREQ,OR,2
70,ANTC25,PREREQ,OR,1
71,ANTC25,PREREQ,OR,2
72,ANTC27,PREREQ,OR,1
73,ANTC28,PREREQ,OR,1
74,ANTC28,PREREQ,OR,2
75,ANTC28,PREREQ,OR,3
76,ANTC28,PREREQ,OR,4
77,ANTC28,PREREQ,OR,5
78,ANTC28,PREREQ,OR,6
79,ANTC30,PREREQ,OR,1
80,ANTC31,PREREQ,OR,1
81,ANTC32,PREREQ,OR,1
82,ANTC32,PREREQ,OR,2
83,ANTC33,PREREQ,OR,1
84,ANTC33,PREREQ,OR,2
85,ANTC34,PREREQ,OR,1
86,ANTC34,PREREQ,OR,2
87,ANTC44,PREREQ,OR,1
88,ANTC44,PREREQ,OR,2
89,ANTC47,PREREQ,OR,1
90,ANTC48,PREREQ,OR,1
91,ANTC52,PREREQ,OR,1
92,ANTC52,PREREQ,OR,2
93,ANTC53,PREREQ,OR,1
94,ANTC53,PREREQ,OR,2
95,ANTC53,PREREQ,OR,3
96,ANTC53,PREREQ,OR,4
97,ANTC53,PREREQ,AND,5
98,ANTC55,PREREQ,AND,1
99,ANTC58,PREREQ,OR,1
100,ANTC58,PREREQ,OR,2
101,ANTC58,PREREQ,OR,3
102,ANTC59,PREREQ,OR,1
103,ANTC61,PREREQ,OR,1
104,ANTC61,PREREQ,OR,2
105,ANTC65,PREREQ,OR,1
106,ANTC65,PREREQ,OR,2
